index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,imdb_rating,cast,crew,director
10,266155648,Adventure,https://example.com/movie-11,MV201200011,adventure hindi cinema,hi,Royal Quest Hindi Adventure 3,Royal Quest Hindi Adventure 3 is a adventure movie in Hindi language.,70.164,Bollywood Studios,India,2012-01-13,1330778240,150,Hindi,Released,Experience the Adventure story,Royal Quest Hindi Adventure 3,9.6,47611,9.6,Lead Actor|Lead Actress,Main Unit,Neha Verma
11,106025047,Adventure,https://example.com/movie-12,MV201400012,adventure hindi cinema,hi,Royal Signal Hindi Adventure 4,Royal Signal Hindi Adventure 4 is a adventure movie in Hindi language.,46.278,Bollywood Studios,India,2014-03-15,212050094,124,Hindi,Released,Experience the Adventure story,Royal Signal Hindi Adventure 4,8.9,64490,8.9,Lead Actor|Lead Actress,Main Unit,Raj Mehta
12,249920189,Adventure,https://example.com/movie-13,MV201600013,adventure hindi cinema,hi,Broken Frontier Hindi Adventure 5,Broken Frontier Hindi Adventure 5 is a adventure movie in Hindi language.,58.632,Hindi Vision Films,India,2016-05-17,1499521134,135,Hindi,Released,Experience the Adventure story,Broken Frontier Hindi Adventure 5,7.4,42188,7.5,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
13,235656820,Adventure,https://example.com/movie-14,MV201800014,adventure hindi cinema,hi,Wild Frontier Hindi Adventure 6,Wild Frontier Hindi Adventure 6 is a adventure movie in Hindi language.,60.535,Bollywood Studios,India,2018-07-19,1178284100,156,Hindi,Released,Experience the Adventure story,Wild Frontier Hindi Adventure 6,8.9,123706,8.8,Lead Actor|Lead Actress,Main Unit,Kabir Khan
14,84017311,Adventure,https://example.com/movie-15,MV202000015,adventure hindi cinema,hi,Eternal Storm Hindi Adventure 7,Eternal Storm Hindi Adventure 7 is a adventure movie in Hindi language.,73.447,Bollywood Studios,India,2020-09-21,336069244,95,Hindi,Released,Experience the Adventure story,Eternal Storm Hindi Adventure 7,7.1,46546,7.2,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
15,136643747,Adventure,https://example.com/movie-16,MV202200016,adventure hindi cinema,hi,Wild Legacy Hindi Adventure 8,Wild Legacy Hindi Adventure 8 is a adventure movie in Hindi language.,59.079,Hindi Vision Films,India,2022-11-23,819862482,127,Hindi,Released,Experience the Adventure story,Wild Legacy Hindi Adventure 8,9.7,22432,9.7,Lead Actor|Lead Actress,Main Unit,Neha Verma
16,275176186,Comedy,https://example.com/movie-17,MV201600017,comedy hindi cinema,hi,Final Signal Hindi Comedy 1,Final Signal Hindi Comedy 1 is a comedy movie in Hindi language.,65.965,Bollywood Studios,India,2016-05-17,1375880930,113,Hindi,Released,Experience the Comedy story,Final Signal Hindi Comedy 1,8.1,131944,8.3,Lead Actor|Lead Actress,Main Unit,Raj Mehta
17,37399422,Comedy,https://example.com/movie-18,MV201800018,comedy hindi cinema,hi,Rising Chronicle Hindi Comedy 2,Rising Chronicle Hindi Comedy 2 is a comedy movie in Hindi language.,95.863,Hindi Vision Films,India,2018-07-19,112198266,141,Hindi,Released,Experience the Comedy story,Rising Chronicle Hindi Comedy 2,8.4,139353,8.3,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
18,73860916,Comedy,https://example.com/movie-19,MV202000019,comedy hindi cinema,hi,Wild Journey Hindi Comedy 3,Wild Journey Hindi Comedy 3 is a comedy movie in Hindi language.,89.109,Hindi Vision Films,India,2020-09-21,517026412,141,Hindi,Released,Experience the Comedy story,Wild Journey Hindi Comedy 3,9.0,172536,9.1,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
19,144744584,Comedy,https://example.com/movie-20,MV202200020,comedy hindi cinema,hi,Rising Storm Hindi Comedy 4,Rising Storm Hindi Comedy 4 is a comedy movie in Hindi language.,86.937,Bollywood Studios,India,2022-11-23,868467504,125,Hindi,Released,Experience the Comedy story,Rising Storm Hindi Comedy 4,8.6,90419,8.5,Lead Actor|Lead Actress,Main Unit,Kabir Khan
20,39998603,Comedy,https://example.com/movie-21,MV202400021,comedy hindi cinema,hi,Dark Storm Hindi Comedy 5,Dark Storm Hindi Comedy 5 is a comedy movie in Hindi language.,52.883,Mumbai Motion Pictures,India,2024-01-25,319988824,119,Hindi,Released,Experience the Comedy story,Dark Storm Hindi Comedy 5,8.3,11596,8.4,Lead Actor|Lead Actress,Main Unit,Neha Verma
21,79845201,Comedy,https://example.com/movie-22,MV202600022,comedy hindi cinema,hi,Broken Signal Hindi Comedy 6,Broken Signal Hindi Comedy 6 is a comedy movie in Hindi language.,65.085,Mumbai Motion Pictures,India,2026-03-27,239535603,121,Hindi,Released,Experience the Comedy story,Broken Signal Hindi Comedy 6,9.6,61792,9.7,Lead Actor|Lead Actress,Main Unit,Kabir Khan
22,209687297,Comedy,https://example.com/movie-23,MV200100023,comedy hindi cinema,hi,Final Frontier Hindi Comedy 7,Final Frontier Hindi Comedy 7 is a comedy movie in Hindi language.,76.161,Hindi Vision Films,India,2001-05-01,1677498376,110,Hindi,Released,Experience the Comedy story,Final Frontier Hindi Comedy 7,9.4,175174,9.4,Lead Actor|Lead Actress,Main Unit,Kabir Khan
23,203518815,Comedy,https://example.com/movie-24,MV200300024,comedy hindi cinema,hi,Dark Pulse Hindi Comedy 8,Dark Pulse Hindi Comedy 8 is a comedy movie in Hindi language.,86.253,Hindi Vision Films,India,2003-07-03,407037630,145,Hindi,Released,Experience the Comedy story,Dark Pulse Hindi Comedy 8,9.5,170682,9.5,Lead Actor|Lead Actress,Main Unit,Kabir Khan
24,39790177,Drama,https://example.com/movie-25,MV202400025,drama hindi cinema,hi,Royal Legacy Hindi Drama 1,Royal Legacy Hindi Drama 1 is a drama movie in Hindi language.,72.812,Mumbai Motion Pictures,India,2024-01-25,119370531,113,Hindi,Released,Experience the Drama story,Royal Legacy Hindi Drama 1,8.9,37302,9.0,Lead Actor|Lead Actress,Main Unit,Kabir Khan
25,80175327,Drama,https://example.com/movie-26,MV202600026,drama hindi cinema,hi,Rising Code Hindi Drama 2,Rising Code Hindi Drama 2 is a drama movie in Hindi language.,82.968,Bollywood Studios,India,2026-03-27,481051962,150,Hindi,Released,Experience the Drama story,Rising Code Hindi Drama 2,8.4,7733,8.5,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
26,200014176,Drama,https://example.com/movie-27,MV200100027,drama hindi cinema,hi,Dark Journey Hindi Drama 3,Dark Journey Hindi Drama 3 is a drama movie in Hindi language.,69.839,Bollywood Studios,India,2001-05-01,800056704,102,Hindi,Released,Experience the Drama story,Dark Journey Hindi Drama 3,7.6,67055,7.7,Lead Actor|Lead Actress,Main Unit,Neha Verma
27,294320726,Drama,https://example.com/movie-28,MV200300028,drama hindi cinema,hi,Broken Frontier Hindi Drama 4,Broken Frontier Hindi Drama 4 is a drama movie in Hindi language.,69.037,Hindi Vision Films,India,2003-07-03,882962178,160,Hindi,Released,Experience the Drama story,Broken Frontier Hindi Drama 4,9.3,220829,9.3,Lead Actor|Lead Actress,Main Unit,Raj Mehta
28,117527939,Drama,https://example.com/movie-29,MV200500029,drama hindi cinema,hi,Broken Code Hindi Drama 5,Broken Code Hindi Drama 5 is a drama movie in Hindi language.,65.304,Hindi Vision Films,India,2005-09-05,352583817,110,Hindi,Released,Experience the Drama story,Broken Code Hindi Drama 5,8.8,43269,8.7,Lead Actor|Lead Actress,Main Unit,Raj Mehta
29,81967059,Drama,https://example.com/movie-30,MV200700030,drama hindi cinema,hi,Rising Shadow Hindi Drama 6,Rising Shadow Hindi Drama 6 is a drama movie in Hindi language.,38.637,Bollywood Studios,India,2007-11-07,491802354,130,Hindi,Released,Experience the Drama story,Rising Shadow Hindi Drama 6,8.5,207552,8.5,Lead Actor|Lead Actress,Main Unit,Raj Mehta
30,59020886,Drama,https://example.com/movie-31,MV200900031,drama hindi cinema,hi,Hidden Shadow Hindi Drama 7,Hidden Shadow Hindi Drama 7 is a drama movie in Hindi language.,55.839,Hindi Vision Films,India,2009-01-09,295104430,172,Hindi,Released,Experience the Drama story,Hidden Shadow Hindi Drama 7,8.1,238359,8.3,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
31,157959195,Drama,https://example.com/movie-32,MV201100032,drama hindi cinema,hi,Silent Pulse Hindi Drama 8,Silent Pulse Hindi Drama 8 is a drama movie in Hindi language.,68.485,Mumbai Motion Pictures,India,2011-03-11,1105714365,166,Hindi,Released,Experience the Drama story,Silent Pulse Hindi Drama 8,8.5,137104,8.4,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
32,63947888,Romance,https://example.com/movie-33,MV200500033,romance hindi cinema,hi,Broken Code Hindi Romance 1,Broken Code Hindi Romance 1 is a romance movie in Hindi language.,50.401,Bollywood Studios,India,2005-09-05,447635216,122,Hindi,Released,Experience the Romance story,Broken Code Hindi Romance 1,8.2,86832,8.2,Lead Actor|Lead Actress,Main Unit,Neha Verma
33,101761264,Romance,https://example.com/movie-34,MV200700034,romance hindi cinema,hi,Hidden Code Hindi Romance 2,Hidden Code Hindi Romance 2 is a romance movie in Hindi language.,91.501,Mumbai Motion Pictures,India,2007-11-07,407045056,123,Hindi,Released,Experience the Romance story,Hidden Code Hindi Romance 2,9.7,99992,9.6,Lead Actor|Lead Actress,Main Unit,Raj Mehta
34,111686430,Romance,https://example.com/movie-35,MV200900035,romance hindi cinema,hi,Royal Pulse Hindi Romance 3,Royal Pulse Hindi Romance 3 is a romance movie in Hindi language.,62.617,Hindi Vision Films,India,2009-01-09,781805010,146,Hindi,Released,Experience the Romance story,Royal Pulse Hindi Romance 3,7.6,62644,7.5,Lead Actor|Lead Actress,Main Unit,Neha Verma
35,35459818,Romance,https://example.com/movie-36,MV201100036,romance hindi cinema,hi,Royal Storm Hindi Romance 4,Royal Storm Hindi Romance 4 is a romance movie in Hindi language.,70.459,Mumbai Motion Pictures,India,2011-03-11,141839272,97,Hindi,Released,Experience the Romance story,Royal Storm Hindi Romance 4,7.8,99932,8.0,Lead Actor|Lead Actress,Main Unit,Kabir Khan
36,85585857,Romance,https://example.com/movie-37,MV201300037,romance hindi cinema,hi,Rising Shadow Hindi Romance 5,Rising Shadow Hindi Romance 5 is a romance movie in Hindi language.,49.627,Bollywood Studios,India,2013-05-13,684686856,105,Hindi,Released,Experience the Romance story,Rising Shadow Hindi Romance 5,8.7,20853,8.7,Lead Actor|Lead Actress,Main Unit,Neha Verma
37,94554611,Romance,https://example.com/movie-38,MV201500038,romance hindi cinema,hi,Silent Journey Hindi Romance 6,Silent Journey Hindi Romance 6 is a romance movie in Hindi language.,62.024,Hindi Vision Films,India,2015-07-15,756436888,128,Hindi,Released,Experience the Romance story,Silent Journey Hindi Romance 6,9.4,202122,9.5,Lead Actor|Lead Actress,Main Unit,Kabir Khan
38,200582830,Romance,https://example.com/movie-39,MV201700039,romance hindi cinema,hi,Golden Shadow Hindi Romance 7,Golden Shadow Hindi Romance 7 is a romance movie in Hindi language.,52.86,Hindi Vision Films,India,2017-09-17,401165660,118,Hindi,Released,Experience the Romance story,Golden Shadow Hindi Romance 7,9.6,187610,9.6,Lead Actor|Lead Actress,Main Unit,Kabir Khan
39,164882730,Romance,https://example.com/movie-40,MV201900040,romance hindi cinema,hi,Hidden Chronicle Hindi Romance 8,Hidden Chronicle Hindi Romance 8 is a romance movie in Hindi language.,73.923,Bollywood Studios,India,2019-11-19,329765460,103,Hindi,Released,Experience the Romance story,Hidden Chronicle Hindi Romance 8,9.7,214142,9.6,Lead Actor|Lead Actress,Main Unit,Neha Verma
40,168806106,Horror,https://example.com/movie-41,MV201300041,horror hindi cinema,hi,Hidden Pulse Hindi Horror 1,Hidden Pulse Hindi Horror 1 is a horror movie in Hindi language.,43.27,Hindi Vision Films,India,2013-05-13,1012836636,125,Hindi,Released,Experience the Horror story,Hidden Pulse Hindi Horror 1,7.2,113513,7.0,Lead Actor|Lead Actress,Main Unit,Raj Mehta
41,188748526,Horror,https://example.com/movie-42,MV201500042,horror hindi cinema,hi,Golden Chronicle Hindi Horror 2,Golden Chronicle Hindi Horror 2 is a horror movie in Hindi language.,83.608,Mumbai Motion Pictures,India,2015-07-15,1132491156,152,Hindi,Released,Experience the Horror story,Golden Chronicle Hindi Horror 2,7.0,85786,7.1,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
42,33238884,Horror,https://example.com/movie-43,MV201700043,horror hindi cinema,hi,Silent Signal Hindi Horror 3,Silent Signal Hindi Horror 3 is a horror movie in Hindi language.,81.917,Hindi Vision Films,India,2017-09-17,66477768,119,Hindi,Released,Experience the Horror story,Silent Signal Hindi Horror 3,9.5,13686,9.3,Lead Actor|Lead Actress,Main Unit,Kabir Khan
43,290751946,Horror,https://example.com/movie-44,MV201900044,horror hindi cinema,hi,Dark Pulse Hindi Horror 4,Dark Pulse Hindi Horror 4 is a horror movie in Hindi language.,88.415,Mumbai Motion Pictures,India,2019-11-19,1744511676,159,Hindi,Released,Experience the Horror story,Dark Pulse Hindi Horror 4,7.4,117292,7.3,Lead Actor|Lead Actress,Main Unit,Neha Verma
44,100010965,Horror,https://example.com/movie-45,MV202100045,horror hindi cinema,hi,Dark Storm Hindi Horror 5,Dark Storm Hindi Horror 5 is a horror movie in Hindi language.,98.324,Bollywood Studios,India,2021-01-21,500054825,111,Hindi,Released,Experience the Horror story,Dark Storm Hindi Horror 5,8.1,189263,8.0,Lead Actor|Lead Actress,Main Unit,Raj Mehta
45,229484351,Horror,https://example.com/movie-46,MV202300046,horror hindi cinema,hi,Hidden Chronicle Hindi Horror 6,Hidden Chronicle Hindi Horror 6 is a horror movie in Hindi language.,67.38,Mumbai Motion Pictures,India,2023-03-23,1835874808,171,Hindi,Released,Experience the Horror story,Hidden Chronicle Hindi Horror 6,8.0,178385,8.2,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
46,26944928,Horror,https://example.com/movie-47,MV202500047,horror hindi cinema,hi,Silent Journey Hindi Horror 7,Silent Journey Hindi Horror 7 is a horror movie in Hindi language.,58.305,Mumbai Motion Pictures,India,2025-05-25,107779712,165,Hindi,Released,Experience the Horror story,Silent Journey Hindi Horror 7,8.2,120870,8.3,Lead Actor|Lead Actress,Main Unit,Neha Verma
47,123224770,Horror,https://example.com/movie-48,MV200000048,horror hindi cinema,hi,Dark Journey Hindi Horror 8,Dark Journey Hindi Horror 8 is a horror movie in Hindi language.,56.461,Bollywood Studios,India,2000-07-27,246449540,155,Hindi,Released,Experience the Horror story,Dark Journey Hindi Horror 8,9.6,97476,9.7,Lead Actor|Lead Actress,Main Unit,Neha Verma
48,166824480,Thriller,https://example.com/movie-49,MV202100049,thriller hindi cinema,hi,Wild Storm Hindi Thriller 1,Wild Storm Hindi Thriller 1 is a thriller movie in Hindi language.,40.744,Mumbai Motion Pictures,India,2021-01-21,1334595840,170,Hindi,Released,Experience the Thriller story,Wild Storm Hindi Thriller 1,7.8,27816,7.7,Lead Actor|Lead Actress,Main Unit,Raj Mehta
49,309106472,Thriller,https://example.com/movie-50,MV202300050,thriller hindi cinema,hi,Royal Journey Hindi Thriller 2,Royal Journey Hindi Thriller 2 is a thriller movie in Hindi language.,83.035,Hindi Vision Films,India,2023-03-23,2472851776,171,Hindi,Released,Experience the Thriller story,Royal Journey Hindi Thriller 2,7.9,26146,7.8,Lead Actor|Lead Actress,Main Unit,Kabir Khan
50,102713254,Thriller,https://example.com/movie-51,MV202500051,thriller hindi cinema,hi,Rising Pulse Hindi Thriller 3,Rising Pulse Hindi Thriller 3 is a thriller movie in Hindi language.,87.791,Hindi Vision Films,India,2025-05-25,205426508,160,Hindi,Released,Experience the Thriller story,Rising Pulse Hindi Thriller 3,7.5,172616,7.4,Lead Actor|Lead Actress,Main Unit,Kabir Khan
51,33632754,Thriller,https://example.com/movie-52,MV200000052,thriller hindi cinema,hi,Wild Code Hindi Thriller 4,Wild Code Hindi Thriller 4 is a thriller movie in Hindi language.,78.934,Hindi Vision Films,India,2000-07-27,269062032,124,Hindi,Released,Experience the Thriller story,Wild Code Hindi Thriller 4,9.6,153023,9.5,Lead Actor|Lead Actress,Main Unit,Raj Mehta
52,227195389,Thriller,https://example.com/movie-53,MV200200053,thriller hindi cinema,hi,Eternal Journey Hindi Thriller 5,Eternal Journey Hindi Thriller 5 is a thriller movie in Hindi language.,63.889,Bollywood Studios,India,2002-09-01,1817563112,175,Hindi,Released,Experience the Thriller story,Eternal Journey Hindi Thriller 5,7.3,31503,7.4,Lead Actor|Lead Actress,Main Unit,Raj Mehta
53,62640841,Thriller,https://example.com/movie-54,MV200400054,thriller hindi cinema,hi,Wild Storm Hindi Thriller 6,Wild Storm Hindi Thriller 6 is a thriller movie in Hindi language.,94.68,Hindi Vision Films,India,2004-11-03,438485887,106,Hindi,Released,Experience the Thriller story,Wild Storm Hindi Thriller 6,8.2,213111,8.4,Lead Actor|Lead Actress,Main Unit,Raj Mehta
54,135175322,Thriller,https://example.com/movie-55,MV200600055,thriller hindi cinema,hi,Broken Chronicle Hindi Thriller 7,Broken Chronicle Hindi Thriller 7 is a thriller movie in Hindi language.,82.349,Mumbai Motion Pictures,India,2006-01-05,405525966,158,Hindi,Released,Experience the Thriller story,Broken Chronicle Hindi Thriller 7,9.4,65547,9.3,Lead Actor|Lead Actress,Main Unit,Kabir Khan
55,131456200,Thriller,https://example.com/movie-56,MV200800056,thriller hindi cinema,hi,Hidden Pulse Hindi Thriller 8,Hidden Pulse Hindi Thriller 8 is a thriller movie in Hindi language.,73.381,Mumbai Motion Pictures,India,2008-03-07,262912400,127,Hindi,Released,Experience the Thriller story,Hidden Pulse Hindi Thriller 8,9.4,16254,9.5,Lead Actor|Lead Actress,Main Unit,Neha Verma
56,169296278,Mystery,https://example.com/movie-57,MV200200057,mystery hindi cinema,hi,Final Frontier Hindi Mystery 1,Final Frontier Hindi Mystery 1 is a mystery movie in Hindi language.,41.369,Bollywood Studios,India,2002-09-01,1185073946,157,Hindi,Released,Experience the Mystery story,Final Frontier Hindi Mystery 1,7.4,131349,7.4,Lead Actor|Lead Actress,Main Unit,Neha Verma
57,319783207,Mystery,https://example.com/movie-58,MV200400058,mystery hindi cinema,hi,Wild Chronicle Hindi Mystery 2,Wild Chronicle Hindi Mystery 2 is a mystery movie in Hindi language.,54.947,Bollywood Studios,India,2004-11-03,959349621,155,Hindi,Released,Experience the Mystery story,Wild Chronicle Hindi Mystery 2,8.3,35064,8.3,Lead Actor|Lead Actress,Main Unit,Raj Mehta
58,169234258,Mystery,https://example.com/movie-59,MV200600059,mystery hindi cinema,hi,Silent Pulse Hindi Mystery 3,Silent Pulse Hindi Mystery 3 is a mystery movie in Hindi language.,48.43,Bollywood Studios,India,2006-01-05,846171290,104,Hindi,Released,Experience the Mystery story,Silent Pulse Hindi Mystery 3,7.2,121820,7.2,Lead Actor|Lead Actress,Main Unit,Raj Mehta
59,298130045,Mystery,https://example.com/movie-60,MV200800060,mystery hindi cinema,hi,Golden Shadow Hindi Mystery 4,Golden Shadow Hindi Mystery 4 is a mystery movie in Hindi language.,91.759,Hindi Vision Films,India,2008-03-07,1192520180,141,Hindi,Released,Experience the Mystery story,Golden Shadow Hindi Mystery 4,7.6,162168,7.7,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
60,267000093,Mystery,https://example.com/movie-61,MV201000061,mystery hindi cinema,hi,Broken Pulse Hindi Mystery 5,Broken Pulse Hindi Mystery 5 is a mystery movie in Hindi language.,54.325,Bollywood Studios,India,2010-05-09,1335000465,148,Hindi,Released,Experience the Mystery story,Broken Pulse Hindi Mystery 5,8.0,132895,8.1,Lead Actor|Lead Actress,Main Unit,Neha Verma
61,206608734,Mystery,https://example.com/movie-62,MV201200062,mystery hindi cinema,hi,Royal Signal Hindi Mystery 6,Royal Signal Hindi Mystery 6 is a mystery movie in Hindi language.,60.489,Bollywood Studios,India,2012-07-11,1652869872,96,Hindi,Released,Experience the Mystery story,Royal Signal Hindi Mystery 6,7.2,89078,7.3,Lead Actor|Lead Actress,Main Unit,Neha Verma
62,66017311,Mystery,https://example.com/movie-63,MV201400063,mystery hindi cinema,hi,Silent Signal Hindi Mystery 7,Silent Signal Hindi Mystery 7 is a mystery movie in Hindi language.,94.227,Mumbai Motion Pictures,India,2014-09-13,264069244,101,Hindi,Released,Experience the Mystery story,Silent Signal Hindi Mystery 7,7.2,232057,7.2,Lead Actor|Lead Actress,Main Unit,Neha Verma
63,104947803,Mystery,https://example.com/movie-64,MV201600064,mystery hindi cinema,hi,Hidden Journey Hindi Mystery 8,Hidden Journey Hindi Mystery 8 is a mystery movie in Hindi language.,97.146,Mumbai Motion Pictures,India,2016-11-15,314843409,160,Hindi,Released,Experience the Mystery story,Hidden Journey Hindi Mystery 8,9.2,249259,9.3,Lead Actor|Lead Actress,Main Unit,Neha Verma
64,239770731,Science Fiction (Sci-Fi),https://example.com/movie-65,MV201000065,science fiction (sci-fi) hindi cinema,hi,Dark Signal Hindi Science Fiction (Sci-Fi) 1,Dark Signal Hindi Science Fiction (Sci-Fi) 1 is a science fiction (sci-fi) movie in Hindi language.,70.151,Hindi Vision Films,India,2010-05-09,1438624386,105,Hindi,Released,Experience the Science Fiction (Sci-Fi) story,Dark Signal Hindi Science Fiction (Sci-Fi) 1,9.2,11605,9.2,Lead Actor|Lead Actress,Main Unit,Raj Mehta
65,178656921,Science Fiction (Sci-Fi),https://example.com/movie-66,MV201200066,science fiction (sci-fi) hindi cinema,hi,Royal Pulse Hindi Science Fiction (Sci-Fi) 2,Royal Pulse Hindi Science Fiction (Sci-Fi) 2 is a science fiction (sci-fi) movie in Hindi language.,38.135,Hindi Vision Films,India,2012-07-11,893284605,111,Hindi,Released,Experience the Science Fiction (Sci-Fi) story,Royal Pulse Hindi Science Fiction (Sci-Fi) 2,8.6,231928,8.7,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
66,164677199,Science Fiction (Sci-Fi),https://example.com/movie-67,MV201400067,science fiction (sci-fi) hindi cinema,hi,Broken Quest Hindi Science Fiction (Sci-Fi) 3,Broken Quest Hindi Science Fiction (Sci-Fi) 3 is a science fiction (sci-fi) movie in Hindi language.,76.984,Mumbai Motion Pictures,India,2014-09-13,823385995,156,Hindi,Released,Experience the Science Fiction (Sci-Fi) story,Broken Quest Hindi Science Fiction (Sci-Fi) 3,7.9,197732,8.0,Lead Actor|Lead Actress,Main Unit,Kabir Khan
67,291865529,Science Fiction (Sci-Fi),https://example.com/movie-68,MV201600068,science fiction (sci-fi) hindi cinema,hi,Hidden Code Hindi Science Fiction (Sci-Fi) 4,Hidden Code Hindi Science Fiction (Sci-Fi) 4 is a science fiction (sci-fi) movie in Hindi language.,49.082,Mumbai Motion Pictures,India,2016-11-15,1751193174,152,Hindi,Released,Experience the Science Fiction (Sci-Fi) story,Hidden Code Hindi Science Fiction (Sci-Fi) 4,8.6,135230,8.8,Lead Actor|Lead Actress,Main Unit,Kabir Khan
68,73905903,Science Fiction (Sci-Fi),https://example.com/movie-69,MV201800069,science fiction (sci-fi) hindi cinema,hi,Golden Shadow Hindi Science Fiction (Sci-Fi) 5,Golden Shadow Hindi Science Fiction (Sci-Fi) 5 is a science fiction (sci-fi) movie in Hindi language.,50.304,Mumbai Motion Pictures,India,2018-01-17,295623612,167,Hindi,Released,Experience the Science Fiction (Sci-Fi) story,Golden Shadow Hindi Science Fiction (Sci-Fi) 5,7.3,93641,7.5,Lead Actor|Lead Actress,Main Unit,Ayan Sharma
