index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
17,56000000,Romance,https://example.com/city-of-mornings,MV2024EN018,urban love,en,City of Mornings,Two architects compete then fall in love while rebuilding,70.4,Brickline Cinema,USA,2025-10-18,101000000,110,English,Released,Build what matters,City of Mornings,7.5,8890,Aria Quinn|Miles Kent,Unit R,Julia Rowe
18,97000000,Action,https://example.com/phantom-circuit,MV2024EN019,racing heist,en,Phantom Circuit,Street racers infiltrate a criminal data network,90.2,Gridline Studios,USA,2025-11-01,275000000,128,English,Released,Fast code fast wheels,Phantom Circuit,8.4,23340,Tyler Cage|Rhea Ford,Unit S,Cole Harper
19,48000000,Horror,https://example.com/night-window,MV2024EN020,urban legend,en,Night Window,A midnight radio host sees crimes before they happen,67.1,Darkwave Films,USA,2025-11-15,93300000,108,English,Released,Do not look twice,Night Window,7.4,9125,Skye Miles|Adam Pike,Unit T,Nora Fields
20,61000000,Drama,https://example.com/broken-anthem,MV2025EN021,music comeback,en,Broken Anthem,A singer rebuilds career after a public scandal,75.8,Chord House,USA,2025-01-10,124000000,117,English,Released,Sing through the noise,Broken Anthem,7.8,11860,Ava Reed|Caleb Stone,Unit U,Derek Lyon
21,108000000,SciFi,https://example.com/solar-front,MV2025EN022,deep space,en,Solar Front,Colonists defend a solar station from pirates,92.3,Sunward Pictures,USA,2025-02-14,304000000,134,English,Released,Hold the light,Solar Front,8.6,27120,Mason Hart|Iris Vaughn,Unit V,Trevor King
22,53000000,Thriller,https://example.com/truth-season,MV2025EN023,investigation,en,Truth Season,A journalist exposes a biotech cover up,76.4,Papertrail Media,UK,2025-03-07,132000000,115,English,Released,Publish or perish,Truth Season,7.9,12670,Nora Quinn|David Hale,Unit W,Elise Morton
23,74000000,Adventure,https://example.com/deep-canyon,MV2025EN024,survival,en,Deep Canyon,A climbing team faces sabotage on a record ascent,83.2,Summit Frame,USA,2025-04-04,186000000,121,English,Released,Climb past fear,Deep Canyon,8.1,16720,Zane Cole|Freya Lane,Unit X,Graham Holt
24,45000000,Mystery,https://example.com/rainy-street,MV2025EN025,missing person,en,Rainy Street,A violinist investigates her sister disappearance,71.6,Moonbridge Films,Canada,2025-05-16,99200000,112,English,Released,Every note is a clue,Rainy Street,7.6,9540,Eli Rose|Mina Hart,Unit Y,Sarah Doyle
25,64000000,Action,https://example.com/agnipath-2,MV2024HI001,spy mission,hi,Agnipath 2,An intelligence officer stops a border cyber attack,85.4,Shakti Studios,India,2025-01-26,198000000,129,Hindi,Released,Desh se bada kuch nahin,Agnipath 2,8.2,18910,Ranveer Khanna|Aisha Verma,Unit Z,Raj Malhotra
26,38000000,Drama,https://example.com/ghar-ka-diary,MV2024HI002,family bonds,hi,Ghar Ka Diary,A widow starts a home business to support her children,69.7,Nayi Duniya Films,India,2025-02-16,75400000,112,Hindi,Released,Har panne mein zindagi,Ghar Ka Diary,7.4,8120,Vidya Rao|Ishan Mehta,Unit AA,Neha Batra
27,71000000,Thriller,https://example.com/shadow-bazaar,MV2024HI003,crime city,hi,Shadow Bazaar,An honest cop enters the underworld trade network,82.9,Raftar Pictures,India,2025-03-08,163000000,123,Hindi,Released,Sach ka daam nahin,Shadow Bazaar,8.0,15340,Arjun Sethi|Ritika Jain,Unit AB,Kunal Arora
28,56000000,Romance,https://example.com/dil-ke-safar,MV2024HI004,journey love,hi,Dil Ke Safar,Two solo travelers meet on a delayed mountain train,73.5,Mehfil Motion,India,2025-03-29,118000000,116,Hindi,Released,Raaste dil milate hain,Dil Ke Safar,7.7,10990,Kabir Anand|Sara Ali,Unit AC,Priya Menon
29,82000000,Action,https://example.com/veer-commando,MV2024HI005,special forces,hi,Veer Commando,A rescue squad attempts a high risk hostage mission,88.6,Tiger Eye Films,India,2025-04-19,226000000,131,Hindi,Released,Himmat hi pehchan,Veer Commando,8.3,21450,Vikram Singh|Meera Kapoor,Unit AD,Rohit Dutta
30,47000000,Comedy,https://example.com/chacha-on-call,MV2024HI006,small town,hi,Chacha On Call,A retired uncle becomes the town emergency fixer,64.2,Hasya House,India,2025-05-03,84200000,104,Hindi,Released,Phone uthao masla suljhao,Chacha On Call,7.1,7030,Pankaj Suri|Nisha Tandon,Unit AE,Sameer Kulkarni
31,92000000,Adventure,https://example.com/himalaya-code,MV2024HI007,mountain quest,hi,Himalaya Code,A research team searches for lost climate data in snow,90.1,Peakline Productions,India,2025-05-24,244000000,133,Hindi,Released,Uchaiyon mein raaz,Himalaya Code,8.5,24780,Raghav Rao|Tina Sehgal,Unit AF,Aman Chaudhary
32,42000000,Horror,https://example.com/raat-ka-darwaza,MV2024HI008,haunted fort,hi,Raat Ka Darwaza,A group opens a sealed fort gate on festival night,67.8,Bhoot Bangla Works,India,2025-06-14,90800000,107,Hindi,Released,Darwaza mat kholna,Raat Ka Darwaza,7.3,8560,Karan Gill|Mahi Arora,Unit AG,Siddhant Pal
33,60000000,Mystery,https://example.com/gumshuda-file,MV2024HI009,legal mystery,hi,Gumshuda File,A junior lawyer finds a vanished witness from old case,75.2,Nyay Pictures,India,2025-07-05,137000000,118,Hindi,Released,File band par sach zinda,Gumshuda File,7.8,12110,Sahil Verma|Pooja Nair,Unit AH,Niraj Sinha
34,79000000,SciFi,https://example.com/kal-ka-shehar,MV2024HI010,future city,hi,Kal Ka Shehar,A coder discovers the city algorithm predicts crimes,86.5,Orbit India,India,2025-07-26,219000000,127,Hindi,Released,Bhavishya ka hisaab,Kal Ka Shehar,8.2,19640,Ayan Khurana|Rhea Das,Unit AI,Dev Shetty
35,50000000,Drama,https://example.com/mitti-ki-kasam,MV2024HI011,rural struggle,hi,Mitti Ki Kasam,A young farmer fights for water rights in drought,71.9,Dhara Cinema,India,2025-08-16,104000000,114,Hindi,Released,Mitti se vaada,Mitti Ki Kasam,7.6,9780,Manoj Rawat|Kriti Lal,Unit AJ,Anita Vyas
36,68000000,Action,https://example.com/lal-haveli,MV2024HI012,revenge,hi,Lal Haveli,An ex cop returns to dismantle a land mafia empire,83.8,Sherwood India,India,2025-09-06,177000000,122,Hindi,Released,Nyay ka waqt,Lal Haveli,8.0,16490,Harsh Bedi|Simran Kaur,Unit AK,Rajat Khosla
37,54000000,Romance,https://example.com/saanson-ka-geet,MV2024HI013,music love,hi,Saanson Ka Geet,A singer and lyricist reunite after ten years,72.4,Sargam Studios,India,2025-09-27,111000000,113,Hindi,Released,Dil phir gaa utha,Saanson Ka Geet,7.5,9430,Aditya Rao|Jiya Sen,Unit AL,Vani Kapoor
38,96000000,Action,https://example.com/suraksha-line,MV2024HI014,national security,hi,Suraksha Line,A cyber cell prevents coordinated attacks across cities,91.2,Raksha Motion,India,2025-10-18,258000000,132,Hindi,Released,Har signal pe nazar,Suraksha Line,8.6,27990,Kartik Rana|Alina Mirza,Unit AM,Imran Qureshi
39,44000000,Comedy,https://example.com/hostel-no-7,MV2024HI015,college life,hi,Hostel No 7,Freshers turn campus rivalry into unlikely friendship,65.3,Campus Reel,India,2025-11-08,86300000,106,Hindi,Released,Dosti ka new semester,Hostel No 7,7.2,7420,Rohit Bansal|Neelam Joshi,Unit AN,Nikhil Anand
40,76000000,Thriller,https://example.com/andhera-pul,MV2025HI016,bridge incident,hi,Andhera Pul,An inspector tracks kidnappers through toll records,84.1,Pulse India Films,India,2025-01-17,185000000,124,Hindi,Released,Andhere mein saboot,Andhera Pul,8.1,17230,Yash Malviya|Sana Khan,Unit AO,Farhan Ali
41,52000000,Drama,https://example.com/do-panne-zindagi,MV2025HI017,life journey,hi,Do Panne Zindagi,Two sisters rebuild their bookstore after a fire,70.8,Kahani Creations,India,2025-02-07,109000000,115,Hindi,Released,Nayi kahani purane rishte,Do Panne Zindagi,7.6,9680,Rhea Kapoor|Tanvi Sharma,Unit AP,Mira Sood
42,89000000,Adventure,https://example.com/mission-sindhu,MV2025HI018,river rescue,hi,Mission Sindhu,A rescue pilot saves villages during flash floods,89.5,Vajra Pictures,India,2025-03-14,241000000,130,Hindi,Released,Himmat ka parvaz,Mission Sindhu,8.4,23810,Aarav Sinha|Naina Gupta,Unit AQ,Suresh Nanda
43,46000000,Mystery,https://example.com/chitthi-unknown,MV2025HI019,anonymous letter,hi,Chitthi Unknown,A postmaster unravels crimes tied to unsigned letters,68.9,Letterbox Films,India,2025-04-11,94700000,110,Hindi,Released,Har chitthi ek raaz,Chitthi Unknown,7.4,8450,Deepak Seth|Mona Paul,Unit AR,Kapil Bansal
44,63000000,SciFi,https://example.com/time-yatri,MV2025HI020,time travel,hi,Time Yatri,A student accidentally sends messages to the past,81.9,Chrono India,India,2025-05-09,172000000,121,Hindi,Released,Kal ko badlo aaj,Time Yatri,8.0,15990,Irfan Malik|Ritu Bahl,Unit AS,Jayant Rao
45,57000000,Romance,https://example.com/dil-se-dilli,MV2025HI021,city romance,hi,Dil Se Dilli,A chef and a radio host fall in love in old Delhi,74.6,Dilli Dreams Studio,India,2025-06-06,126000000,117,Hindi,Released,Shehar se pyaar,Dil Se Dilli,7.8,11340,Kunal Dev|Pari Mehra,Unit AT,Reema Kaul
46,98000000,Action,https://example.com/trinetra-force,MV2025HI022,elite squad,hi,Trinetra Force,Three officers stop a high value smuggling route,92.7,Trinetra Films,India,2025-07-18,289000000,134,Hindi,Released,Teen nigahein ek lakshya,Trinetra Force,8.7,30120,Rudra Singh|Aditi Rao,Unit AU,Kabir Awasthi
47,43000000,Horror,https://example.com/nazarband,MV2025HI023,supernatural,hi,Nazarband,A village medium faces a vengeful spirit at eclipse,66.4,Chandni Shadows,India,2025-08-08,88100000,105,Hindi,Released,Nazar se bachna mushkil,Nazarband,7.2,7640,Madhav Jain|Ira Kapoor,Unit AV,Omkar Deshpande
48,69000000,Drama,https://example.com/aakhri-panna,MV2025HI024,court drama,hi,Aakhri Panna,A public defender reopens a wrongful conviction case,79.6,Nyaya Kala,India,2025-09-12,149000000,119,Hindi,Released,Insaaf ka aakhri panna,Aakhri Panna,8.1,14680,Rajat Verma|Sonal Iyer,Unit AW,Prakash Suri
49,61000000,Comedy,https://example.com/shaadi-restart,MV2025HI025,wedding chaos,hi,Shaadi Restart,A runaway groom and planner save a grand wedding,73.1,Utsav Motion,India,2025-10-24,131000000,112,Hindi,Released,Baraat phir se niklegi,Shaadi Restart,7.7,10860,Nakul Arora|Kiara Sethi,Unit AX,Rishi Talwar
